ID,Education,Income,Kidhome,Teenhome,MntWines,MntFruits,NumWebPurchases,NumStorePurchases,Response
5524,Graduation,58138.0,0,0,635,88,8,4,1
2174,Graduation,46344.0,1,1,11,1,1,2,0
4141,Graduation,71613.0,0,0,426,49,8,10,0
6182,Graduation,26646.0,1,0,11,4,2,4,0
5324,PhD,58293.0,1,0,173,43,5,6,0
7446,Master,62513.0,0,1,520,42,6,10,0
965,Graduation,55635.0,0,1,235,65,7,7,0
6177,PhD,33454.0,1,0,76,10,4,4,0
4855,PhD,30351.0,1,0,14,0,3,2,1
5899,PhD,5648.0,1,1,28,0,1,0,0
1994,Graduation,,1,0,5,5,1,2,0
387,Basic,7500.0,0,0,6,16,2,3,0
2125,Graduation,63033.0,0,0,194,61,3,8,0
8180,Master,59354.0,1,1,233,2,6,5,0
2569,Graduation,17323.0,0,0,3,14,1,3,0
2114,PhD,82800.0,0,0,1006,22,7,12,1
9736,Graduation,41850.0,1,1,53,5,3,3,0
4939,Graduation,37760.0,0,0,84,5,4,6,0
6565,Master,76995.0,0,1,1012,80,11,9,0
2278,2n Cycle,33812.0,1,0,4,17,2,3,0
9360,Graduation,37040.0,0,0,86,2,4,5,0
5376,Graduation,2447.0,1,0,1,1,0,0,0
1993,PhD,58607.0,0,1,867,0,2,9,0
4047,PhD,65324.0,0,1,384,0,6,9,0
1409,Graduation,40689.0,0,1,270,3,7,5,0
7892,Graduation,18589.0,0,0,6,4,2,3,0
2404,Graduation,53359.0,1,1,173,4,5,4,0
5255,Graduation,,1,0,5,1,27,0,0
9422,Graduation,38360.0,1,0,36,2,2,4,0
1966,PhD,84618.0,0,0,684,100,6,10,0
6864,Master,10979.0,0,0,8,4,3,3,0
3033,Master,38620.0,0,0,112,17,2,3,0
5710,Graduation,40548.0,0,1,110,0,2,4,0
7373,PhD,46610.0,0,2,96,12,4,6,1
8755,Master,68657.0,0,0,482,34,3,9,0
10738,Master,49389.0,1,1,40,0,2,3,0
4339,PhD,67353.0,0,1,702,17,5,12,0
10755,2n Cycle,23718.0,1,0,6,3,3,2,0
8595,Graduation,42429.0,0,1,55,0,1,3,0
2968,PhD,48948.0,0,0,437,8,7,5,1
8601,Graduation,80011.0,0,1,421,76,8,5,0
503,Master,20559.0,1,0,13,1,2,3,0
8430,Graduation,21994.0,0,1,9,0,0,3,0
7281,PhD,,0,0,81,11,1,4,0
2139,Master,7500.0,1,0,3,1,2,3,0
1371,Graduation,79941.0,0,0,123,164,2,9,0
9909,2n Cycle,7500.0,0,0,3,18,3,3,1
7286,Graduation,41728.0,1,0,13,6,2,2,0
7244,Graduation,,2,1,48,5,2,4,0
6566,PhD,72550.0,1,1,826,50,5,12,0
8614,Graduation,65486.0,0,1,245,19,4,10,0
4114,Master,79143.0,0,0,650,37,6,13,0
1331,Graduation,35790.0,1,0,12,6,2,3,0
2225,Graduation,82582.0,0,0,510,120,4,7,1
9381,Graduation,66373.0,1,1,328,9,4,10,0
6260,Master,82384.0,0,0,984,51,3,13,1
10383,Graduation,70287.0,0,0,295,35,5,10,1
7437,Graduation,27938.0,1,0,13,0,1,4,0
8557,Graduation,,1,0,11,3,2,3,0
8375,PhD,55954.0,0,1,447,0,8,6,0
6853,Master,75777.0,0,0,712,26,3,11,1
3076,Graduation,66653.0,1,1,452,18,4,12,0
1012,Graduation,61823.0,0,1,523,7,8,10,0
6518,PhD,67680.0,0,1,546,0,7,8,0
4137,Graduation,70666.0,0,0,398,40,7,4,0
8082,Graduation,25721.0,1,0,1,3,1,2,1
1386,Graduation,32474.0,1,1,10,0,1,2,0
9369,2n Cycle,88194.0,0,1,688,14,11,10,1
4477,Graduation,69096.0,0,1,247,49,5,10,0
1357,Graduation,74854.0,1,2,856,59,2,5,0
1402,Master,66991.0,0,0,496,36,4,6,0
10629,2n Cycle,,1,0,25,3,3,3,0
6312,Graduation,65031.0,0,1,258,107,10,13,0
8132,PhD,60631.0,1,1,565,6,9,8,0
1050,Graduation,28332.0,0,0,14,10,2,4,0
5846,Graduation,40246.0,1,0,2,1,1,2,0
1859,Master,75251.0,0,0,721,111,7,5,1
7503,Graduation,75825.0,0,0,1032,105,5,9,1
10401,2n Cycle,26326.0,0,0,1,0,0,3,0
1618,Graduation,56046.0,0,0,577,0,10,8,1
3332,Graduation,29760.0,1,0,64,4,3,4,0
2261,Graduation,26304.0,1,0,4,1,1,2,0
5346,2n Cycle,23559.0,1,0,25,5,3,3,0
